Date,Number of Mined Bitcoins,Bitcoin Price,Ln Bitcoin Price
2010-07-19,3450600,0.08,-2.525728644
2010-07-22,3477400,0.05,-2.995732274
2010-07-25,3504250,0.06,-2.813410717
2010-07-27,3531050,0.06,-2.813410717
2010-07-30,3558050,0.06,-2.813410717
2010-08-02,3584350,0.06,-2.813410717
2010-08-04,3610800,0.06,-2.813410717
2010-08-06,3637300,0.06,-2.813410717
2010-08-09,3663750,0.07,-2.659260037
2010-08-12,3690300,0.07,-2.659260037
2010-08-14,3716550,0.06,-2.813410717
2010-08-17,3742850,0.07,-2.659260037
2010-08-21,3769200,0.07,-2.659260037
2010-08-23,3795400,0.06,-2.813410717
2010-08-26,3821700,0.06,-2.813410717
2010-08-29,3848400,0.07,-2.659260037
2010-09-01,3874750,0.06,-2.813410717
2010-09-04,3901200,0.06,-2.813410717
2010-09-07,3927700,0.06,-2.813410717
2010-09-11,3954100,0.06,-2.813410717
2010-09-14,3980400,0.06,-2.813410717
2010-09-16,4006600,0.06,-2.813410717
2010-09-19,4033050,0.06,-2.813410717
2010-09-21,4059350,0.06,-2.813410717
2010-09-24,4085600,0.06,-2.813410717
2010-09-26,4111850,0.06,-2.813410717
2010-09-29,4138550,0.06,-2.813410717
2010-10-03,4164800,0.06,-2.813410717
2010-10-06,4191150,0.06,-2.813410717
2010-10-10,4217450,0.09,-2.407945609
2010-10-13,4243900,0.11,-2.207274913
2010-10-16,4270250,0.11,-2.207274913
2010-10-18,4296850,0.1,-2.302585093
2010-10-20,4323450,0.1,-2.302585093
2010-10-23,4350000,0.1,-2.302585093
2010-10-25,4376750,0.13,-2.040220829
2010-10-28,4403300,0.17,-1.771956842
2010-10-30,4429800,0.19,-1.660731207
2010-11-02,4456200,0.19,-1.660731207
2010-11-05,4482650,0.26,-1.347073648
2010-11-07,4509100,0.26,-1.347073648
2010-11-09,4535500,0.21,-1.560647748
2010-11-12,4561700,0.27,-1.30933332
2010-11-14,4588550,0.27,-1.30933332
2010-11-17,4615250,0.23,-1.46967597
2010-11-19,4641950,0.28,-1.272965676
2010-11-23,4668500,0.28,-1.272965676
2010-11-26,4694900,0.28,-1.272965676
2010-11-29,4721350,0.23,-1.46967597
2010-12-01,4748150,0.23,-1.46967597
2010-12-04,4774650,0.25,-1.386294361
2010-12-06,4801350,0.2,-1.609437912
2010-12-09,4827850,0.2,-1.609437912
2010-12-11,4854300,0.2,-1.609437912
2010-12-15,4880950,0.24,-1.427116356
2010-12-18,4907900,0.24,-1.427116356
2010-12-21,4934550,0.24,-1.427116356
2010-12-24,4961350,0.25,-1.386294361
2010-12-28,4987650,0.28,-1.272965676
2010-12-31,5014300,0.3,-1.203972804
2011-01-03,5040750,0.3,-1.203972804
2011-01-06,5067000,0.3,-1.203972804
2011-01-10,5093350,0.33,-1.108662625
2011-01-13,5120000,0.32,-1.139434283
2011-01-16,5146400,0.4,-0.916290732
2011-01-19,5172800,0.31,-1.171182982
2011-01-22,5199550,0.42,-0.867500568
2011-01-25,5225800,0.41,-0.891598119
2011-01-28,5252200,0.45,-0.798507696
2011-01-31,5278500,0.52,-0.653926467
2011-02-04,5305100,0.81,-0.210721031
2011-02-07,5331350,0.89,-0.116533816
2011-02-09,5357750,1.09,0.086177696
2011-02-12,5383950,1.07,0.067658648
2011-02-15,5410250,1.05,0.048790164
2011-02-17,5436700,1.04,0.039220713
2011-02-20,5463000,0.9,-0.105360516
2011-02-22,5489500,0.87,-0.139262067
2011-02-25,5515750,0.91,-0.094310679
2011-02-27,5541950,0.91,-0.094310679
2011-03-02,5568150,0.94,-0.061875404
2011-03-05,5594450,0.9,-0.105360516
2011-03-07,5620700,0.89,-0.116533816
2011-03-09,5647150,0.86,-0.15082289
2011-03-14,5673450,0.89,-0.116533816
2011-03-18,5699700,0.82,-0.198450939
2011-03-22,5726100,0.81,-0.210721031
2011-03-25,5752600,0.88,-0.127833372
2011-03-29,5779000,0.79,-0.235722334
2011-04-01,5805600,0.77,-0.261364764
2011-04-04,5832200,0.68,-0.385662481
2011-04-07,5859300,0.75,-0.287682072
2011-04-10,5885550,0.75,-0.287682072
2011-04-13,5911900,0.92,-0.083381609
2011-04-17,5938350,0.99,-0.010050336
2011-04-20,5964550,1.14,0.131028262
2011-04-23,5990700,1.41,0.343589704
2011-04-26,6017000,1.79,0.58221562
2011-04-29,6043150,2.88,1.057790294
2011-05-02,6069450,3.2,1.16315081
2011-05-05,6095700,3.33,1.202972304
2011-05-07,6122050,3.45,1.238374231
2011-05-09,6148400,3.8,1.335001067
2011-05-12,6174800,6.3,1.840549633
2011-05-15,6201000,8.2,2.104134154
2011-05-17,6227200,7.19,1.972691172
2011-05-19,6253450,6.81,1.91839212
2011-05-21,6279800,5.59,1.720979287
2011-05-23,6306050,7.15,1.967112357
2011-05-25,6332300,8.4,2.128231706
2011-05-27,6358500,8.5,2.140066163
2011-05-30,6384750,8.8,2.174751721
2011-06-02,6411050,10.6,2.360854001
2011-06-05,6437300,14.29,2.659559992
2011-06-07,6463500,23.92,3.174714929
2011-06-10,6489700,23.95,3.175968324
2011-06-12,6515900,23.95,3.175968324
2011-06-14,6542100,19.28,2.959068289
2011-06-17,6568300,15.68,2.752386015
2011-06-19,6594450,15.68,2.752386015
2011-06-21,6620700,15.68,2.752386015
2011-06-24,6647050,15.68,2.752386015
2011-06-27,6673200,16.75,2.818398258
2011-06-30,6699350,16.1,2.778819272
2011-07-03,6725600,15.4,2.734367509
2011-07-06,6751750,14.78,2.693274916
2011-07-10,6777900,14.31,2.660958594
2011-07-13,6804100,13.95,2.635479508
2011-07-16,6830300,13.81,2.625392967
2011-07-20,6856550,13.69,2.616665639
2011-07-23,6882700,13.7,2.617395833
2011-07-26,6908950,13.88,2.630448955
2011-07-29,6935250,13.5,2.602689685
2011-08-02,6961700,12.05,2.48906466
2011-08-05,6988200,9.8,2.282382386
2011-08-09,7014850,9.99,2.301584593
2011-08-13,7041850,9.46,2.247072383
2011-08-17,7068650,10.95,2.393339456
2011-08-21,7095750,11.65,2.45530618
2011-08-25,7122800,9.66,2.267993648
2011-08-29,7149200,8.97,2.193885676
2011-09-01,7175700,8.21,2.105352923
2011-09-05,7202250,7.61,2.029463172
2011-09-09,7229250,5.03,1.615419984
2011-09-13,7256050,5.8,1.757857918
2011-09-17,7283300,4.82,1.572773928
2011-09-20,7309900,6.11,1.809926773
2011-09-24,7336600,5.55,1.713797928
2011-09-28,7363200,4.77,1.562346305
2011-10-02,7389700,5.14,1.637053079
2011-10-06,7416550,4.73,1.553925203
2011-10-11,7443550,3.93,1.368639426
2011-10-15,7470350,3.99,1.383791231
2011-10-20,7497100,2.35,0.854415328
2011-10-24,7523500,2.55,0.936093359
